0.0 1.0 tensor(32.9567, dtype=torch.float64) tensor(32.9567, dtype=torch.float64)
0.25 0.75 tensor(29.6727, dtype=torch.float64) tensor(24.4922, dtype=torch.float64)
0.125 0.875 tensor(26.4677, dtype=torch.float64) tensor(23.7373, dtype=torch.float64)
0.125 0.875 tensor(20.7037, dtype=torch.float64) tensor(20.3704, dtype=torch.float64)
0.125 0.875 tensor(16.6412, dtype=torch.float64) tensor(16.4250, dtype=torch.float64)
0.75 0.5 tensor(26.9952, dtype=torch.float64) tensor(24.5853, dtype=torch.float64)
0.0 1.0 tensor(22.0954, dtype=torch.float64) tensor(22.0954, dtype=torch.float64)
0.0 1.0 tensor(24.1631, dtype=torch.float64) tensor(24.1631, dtype=torch.float64)
0.0 1.0 tensor(38.6862, dtype=torch.float64) tensor(38.6862, dtype=torch.float64)
0.125 0.875 tensor(20.3331, dtype=torch.float64) tensor(20.2096, dtype=torch.float64)
0.125 0.875 tensor(27.0155, dtype=torch.float64) tensor(26.6840, dtype=torch.float64)
0.0 1.0 tensor(21.4415, dtype=torch.float64) tensor(21.4415, dtype=torch.float64)
0.0 1.0 tensor(28.3583, dtype=torch.float64) tensor(28.3583, dtype=torch.float64)
0.125 0.875 tensor(30.5494, dtype=torch.float64) tensor(30.1372, dtype=torch.float64)
0.0 1.0 tensor(32.5925, dtype=torch.float64) tensor(32.5925, dtype=torch.float64)
0.5 0.75 tensor(31.1629, dtype=torch.float64) tensor(30.1254, dtype=torch.float64)
0.0 1.0 tensor(24.2098, dtype=torch.float64) tensor(24.2098, dtype=torch.float64)
0.0 1.0 tensor(23.5303, dtype=torch.float64) tensor(23.5303, dtype=torch.float64)
0.0 1.0 tensor(33.3714, dtype=torch.float64) tensor(33.3714, dtype=torch.float64)
0.5 0.75 tensor(39.1080, dtype=torch.float64) tensor(36.3158, dtype=torch.float64)
0.0 1.0 tensor(32.3692, dtype=torch.float64) tensor(32.3692, dtype=torch.float64)
0.125 0.875 tensor(21.3541, dtype=torch.float64) tensor(17.9566, dtype=torch.float64)
0.125 0.875 tensor(24.5685, dtype=torch.float64) tensor(24.3322, dtype=torch.float64)
0.125 0.875 tensor(17.1692, dtype=torch.float64) tensor(16.9561, dtype=torch.float64)
0.75 0.5 tensor(18.2271, dtype=torch.float64) tensor(14.7747, dtype=torch.float64)
0.0 1.0 tensor(16.2856, dtype=torch.float64) tensor(16.2856, dtype=torch.float64)
0.0 1.0 tensor(15.1892, dtype=torch.float64) tensor(15.1892, dtype=torch.float64)
0.0 1.0 tensor(32.3151, dtype=torch.float64) tensor(32.3151, dtype=torch.float64)
0.75 0.5 tensor(24.2110, dtype=torch.float64) tensor(17.6280, dtype=torch.float64)
0.125 0.875 tensor(27.3206, dtype=torch.float64) tensor(27.0832, dtype=torch.float64)
0.125 1.0 tensor(28.6367, dtype=torch.float64) tensor(28.6367, dtype=torch.float64)
0.125 0.875 tensor(30.6329, dtype=torch.float64) tensor(30.3252, dtype=torch.float64)
0.125 0.875 tensor(24.8134, dtype=torch.float64) tensor(24.1105, dtype=torch.float64)
0.75 0.75 tensor(25.4648, dtype=torch.float64) tensor(22.5737, dtype=torch.float64)
0.0 1.0 tensor(24.6806, dtype=torch.float64) tensor(24.6806, dtype=torch.float64)
0.0 1.0 tensor(23.9885, dtype=torch.float64) tensor(23.9885, dtype=torch.float64)
0.0 1.0 tensor(33.3145, dtype=torch.float64) tensor(33.3145, dtype=torch.float64)
0.0 1.0 tensor(39.3724, dtype=torch.float64) tensor(39.3724, dtype=torch.float64)
0.125 0.875 tensor(34.7949, dtype=torch.float64) tensor(34.7946, dtype=torch.float64)
0.25 0.75 tensor(36.0606, dtype=torch.float64) tensor(27.5598, dtype=torch.float64)
0.125 0.875 tensor(30.8872, dtype=torch.float64) tensor(30.8870, dtype=torch.float64)
0.125 0.875 tensor(32.5876, dtype=torch.float64) tensor(30.1223, dtype=torch.float64)
0.75 0.5 tensor(32.9948, dtype=torch.float64) tensor(26.9472, dtype=torch.float64)
0.0 1.0 tensor(32.0352, dtype=torch.float64) tensor(32.0352, dtype=torch.float64)
0.25 0.75 tensor(27.8567, dtype=torch.float64) tensor(27.5693, dtype=torch.float64)
0.0 1.0 tensor(39.1966, dtype=torch.float64) tensor(39.1966, dtype=torch.float64)
0.125 0.875 tensor(26.5672, dtype=torch.float64) tensor(23.2186, dtype=torch.float64)
0.125 0.875 tensor(24.9102, dtype=torch.float64) tensor(21.4591, dtype=torch.float64)
0.25 0.75 tensor(26.2955, dtype=torch.float64) tensor(22.6057, dtype=torch.float64)
0.1875 0.8125 tensor(32.9567, dtype=torch.float64) tensor(29.4970, dtype=torch.float64)
0.75 0.6875 tensor(29.6727, dtype=torch.float64) tensor(28.1766, dtype=torch.float64)
0.25 0.75 tensor(26.4677, dtype=torch.float64) tensor(19.8661, dtype=torch.float64)
0.25 0.75 tensor(20.7037, dtype=torch.float64) tensor(20.3254, dtype=torch.float64)
0.3125 0.6875 tensor(16.6412, dtype=torch.float64) tensor(15.9686, dtype=torch.float64)
0.625 0.5 tensor(26.9952, dtype=torch.float64) tensor(20.6340, dtype=torch.float64)
0.125 0.875 tensor(22.0954, dtype=torch.float64) tensor(21.2210, dtype=torch.float64)
0.0625 0.9375 tensor(24.1631, dtype=torch.float64) tensor(23.0491, dtype=torch.float64)
0.25 0.75 tensor(38.6862, dtype=torch.float64) tensor(36.9306, dtype=torch.float64)
0.25 0.75 tensor(20.3331, dtype=torch.float64) tensor(18.6673, dtype=torch.float64)
0.25 0.75 tensor(27.0155, dtype=torch.float64) tensor(25.5514, dtype=torch.float64)
0.1875 0.8125 tensor(21.4415, dtype=torch.float64) tensor(18.5814, dtype=torch.float64)
0.0 1.0 tensor(28.3583, dtype=torch.float64) tensor(28.3583, dtype=torch.float64)
0.375 0.625 tensor(30.5494, dtype=torch.float64) tensor(23.0072, dtype=torch.float64)
0.125 0.875 tensor(32.5925, dtype=torch.float64) tensor(24.3085, dtype=torch.float64)
0.375 0.75 tensor(31.1629, dtype=torch.float64) tensor(29.8656, dtype=torch.float64)
0.125 0.875 tensor(24.2098, dtype=torch.float64) tensor(24.0807, dtype=torch.float64)
0.0625 0.9375 tensor(23.5303, dtype=torch.float64) tensor(23.3602, dtype=torch.float64)
0.25 0.75 tensor(33.3714, dtype=torch.float64) tensor(31.8335, dtype=torch.float64)
0.375 0.8125 tensor(39.1080, dtype=torch.float64) tensor(37.0828, dtype=torch.float64)
0.0 1.0 tensor(32.3692, dtype=torch.float64) tensor(32.3692, dtype=torch.float64)
0.25 0.75 tensor(21.3541, dtype=torch.float64) tensor(13.4786, dtype=torch.float64)
0.375 0.625 tensor(24.5685, dtype=torch.float64) tensor(19.9839, dtype=torch.float64)
0.3125 0.6875 tensor(17.1692, dtype=torch.float64) tensor(14.3170, dtype=torch.float64)
0.625 0.375 tensor(18.2271, dtype=torch.float64) tensor(11.1616, dtype=torch.float64)
0.125 0.875 tensor(16.2856, dtype=torch.float64) tensor(16.2416, dtype=torch.float64)
0.0625 0.9375 tensor(15.1892, dtype=torch.float64) tensor(15.1775, dtype=torch.float64)
0.0 1.0 tensor(32.3151, dtype=torch.float64) tensor(32.3151, dtype=torch.float64)
0.5625 0.5 tensor(24.2110, dtype=torch.float64) tensor(7.4108, dtype=torch.float64)
0.25 0.75 tensor(27.3206, dtype=torch.float64) tensor(25.1522, dtype=torch.float64)
0.25 0.75 tensor(28.6367, dtype=torch.float64) tensor(21.5752, dtype=torch.float64)
0.375 0.625 tensor(30.6329, dtype=torch.float64) tensor(26.0992, dtype=torch.float64)
0.3125 0.75 tensor(24.8134, dtype=torch.float64) tensor(21.9177, dtype=torch.float64)
0.625 0.75 tensor(25.4648, dtype=torch.float64) tensor(23.4591, dtype=torch.float64)
0.125 0.875 tensor(24.6806, dtype=torch.float64) tensor(23.2958, dtype=torch.float64)
0.0625 0.9375 tensor(23.9885, dtype=torch.float64) tensor(23.8300, dtype=torch.float64)
0.25 0.75 tensor(33.3145, dtype=torch.float64) tensor(31.4344, dtype=torch.float64)
0.1875 0.8125 tensor(39.3724, dtype=torch.float64) tensor(36.3532, dtype=torch.float64)
0.3125 0.6875 tensor(34.7949, dtype=torch.float64) tensor(32.8936, dtype=torch.float64)
0.75 0.6875 tensor(36.0606, dtype=torch.float64) tensor(32.7405, dtype=torch.float64)
0.3125 0.6875 tensor(30.8872, dtype=torch.float64) tensor(26.9689, dtype=torch.float64)
0.3125 0.6875 tensor(32.5876, dtype=torch.float64) tensor(26.0169, dtype=torch.float64)
0.625 0.5 tensor(32.9948, dtype=torch.float64) tensor(27.0369, dtype=torch.float64)
0.125 0.875 tensor(32.0352, dtype=torch.float64) tensor(30.4606, dtype=torch.float64)
0.5625 0.625 tensor(27.8567, dtype=torch.float64) tensor(25.4032, dtype=torch.float64)
0.25 0.75 tensor(39.1966, dtype=torch.float64) tensor(36.7457, dtype=torch.float64)
0.25 0.75 tensor(26.5672, dtype=torch.float64) tensor(19.0523, dtype=torch.float64)
0.25 0.75 tensor(24.9102, dtype=torch.float64) tensor(19.5259, dtype=torch.float64)
0.5625 0.625 tensor(26.2955, dtype=torch.float64) tensor(24.8517, dtype=torch.float64)
