0.375 0.625 tensor(24.0311, dtype=torch.float64) tensor(21.1755, dtype=torch.float64)
0.625 0.625 tensor(22.4956, dtype=torch.float64) tensor(21.2695, dtype=torch.float64)
0.375 0.625 tensor(20.5776, dtype=torch.float64) tensor(18.9215, dtype=torch.float64)
0.375 0.625 tensor(29.5485, dtype=torch.float64) tensor(25.9210, dtype=torch.float64)
0.5 0.5 tensor(32.8772, dtype=torch.float64) tensor(23.6005, dtype=torch.float64)
0.375 0.625 tensor(21.9200, dtype=torch.float64) tensor(20.4928, dtype=torch.float64)
0.25 0.75 tensor(23.0025, dtype=torch.float64) tensor(22.0264, dtype=torch.float64)
0.5 0.5 tensor(22.0996, dtype=torch.float64) tensor(19.7641, dtype=torch.float64)
0.625 0.5 tensor(26.7994, dtype=torch.float64) tensor(19.2365, dtype=torch.float64)
0.625 0.625 tensor(24.7457, dtype=torch.float64) tensor(21.2220, dtype=torch.float64)
0.625 0.625 tensor(21.7161, dtype=torch.float64) tensor(19.8733, dtype=torch.float64)
0.375 0.625 tensor(20.4053, dtype=torch.float64) tensor(17.4082, dtype=torch.float64)
0.375 0.625 tensor(26.0050, dtype=torch.float64) tensor(23.4603, dtype=torch.float64)
0.5 0.5 tensor(25.7050, dtype=torch.float64) tensor(18.2460, dtype=torch.float64)
0.375 0.625 tensor(23.5600, dtype=torch.float64) tensor(22.0784, dtype=torch.float64)
0.25 0.75 tensor(21.2315, dtype=torch.float64) tensor(19.0414, dtype=torch.float64)
0.5 0.5 tensor(22.9675, dtype=torch.float64) tensor(17.5013, dtype=torch.float64)
0.375 0.625 tensor(26.3457, dtype=torch.float64) tensor(22.4017, dtype=torch.float64)
0.625 0.5 tensor(25.3901, dtype=torch.float64) tensor(22.5272, dtype=torch.float64)
0.375 0.625 tensor(23.1246, dtype=torch.float64) tensor(21.0476, dtype=torch.float64)
0.375 0.625 tensor(27.8384, dtype=torch.float64) tensor(26.2303, dtype=torch.float64)
0.5 0.625 tensor(27.5163, dtype=torch.float64) tensor(25.2622, dtype=torch.float64)
0.375 0.625 tensor(25.5687, dtype=torch.float64) tensor(22.4384, dtype=torch.float64)
0.25 0.75 tensor(23.5183, dtype=torch.float64) tensor(22.4198, dtype=torch.float64)
0.5 0.5 tensor(24.8777, dtype=torch.float64) tensor(22.3486, dtype=torch.float64)
0.375 0.625 tensor(24.2244, dtype=torch.float64) tensor(21.8321, dtype=torch.float64)
0.625 0.5 tensor(25.0360, dtype=torch.float64) tensor(19.3105, dtype=torch.float64)
0.375 0.625 tensor(21.4387, dtype=torch.float64) tensor(18.7820, dtype=torch.float64)
0.375 0.625 tensor(26.3999, dtype=torch.float64) tensor(23.8966, dtype=torch.float64)
0.5 0.5 tensor(26.3751, dtype=torch.float64) tensor(20.8577, dtype=torch.float64)
0.25 0.75 tensor(21.6745, dtype=torch.float64) tensor(20.5111, dtype=torch.float64)
0.5 0.5 tensor(23.2735, dtype=torch.float64) tensor(18.0335, dtype=torch.float64)
0.375 0.625 tensor(23.1706, dtype=torch.float64) tensor(17.0120, dtype=torch.float64)
0.625 0.5 tensor(24.3981, dtype=torch.float64) tensor(17.1927, dtype=torch.float64)
0.625 0.5 tensor(22.1149, dtype=torch.float64) tensor(21.2616, dtype=torch.float64)
0.375 0.625 tensor(25.0807, dtype=torch.float64) tensor(23.4688, dtype=torch.float64)
0.5 0.625 tensor(25.6606, dtype=torch.float64) tensor(24.4289, dtype=torch.float64)
0.25 0.75 tensor(20.7215, dtype=torch.float64) tensor(19.1276, dtype=torch.float64)
0.5 0.5 tensor(22.2575, dtype=torch.float64) tensor(20.1740, dtype=torch.float64)
0.375 0.625 tensor(27.1969, dtype=torch.float64) tensor(22.1668, dtype=torch.float64)
0.625 0.5 tensor(28.9414, dtype=torch.float64) tensor(20.0803, dtype=torch.float64)
0.625 0.5 tensor(25.4308, dtype=torch.float64) tensor(22.6551, dtype=torch.float64)
0.375 0.625 tensor(25.5145, dtype=torch.float64) tensor(23.7119, dtype=torch.float64)
0.5 0.625 tensor(29.3292, dtype=torch.float64) tensor(26.8797, dtype=torch.float64)
0.25 0.75 tensor(24.6152, dtype=torch.float64) tensor(22.7663, dtype=torch.float64)
0.5 0.5 tensor(25.8030, dtype=torch.float64) tensor(21.4704, dtype=torch.float64)
0.375 0.625 tensor(30.0333, dtype=torch.float64) tensor(26.5710, dtype=torch.float64)
